,País,Region,Location,Magnitud,Clasificación,Daños Económicos,Fecha
22,Philippines,Asia,"Southern Leyte district (Region VIII (Eastern Visayas) province), Camiguin, Misamis Occidental, Misamis Oriental districts (Region X (Northern Mindanao) province), Compostela, Davao Oriental districts (Region XI (Davao region) province), Agusan del Norte, Agusan del Sur, Dinagat, Surigao del Norte, Surigao del Sur districts (Region XIII (Caraga) province), Masbate district (Region V (Bicol region) province), Sulu district (ARMM province)",3623.0,Hydrological,12411.0,2011-01-25
23,Saudi Arabia,Asia,Jeddah city (Makkah province),30361.0,Hydrological,300000.0,2011-01-25
24,Sri Lanka,Asia,"Vavuniya district (Northern province), Central, Eastern, North Central, Sabaragamuwa, Uva provinces",22133.0,Hydrological,200000.0,2011-01-05
25,Bolivia (Plurinational State of),Americas,"Beni, Chuquisaca, Cochabamba, La Paz provinces",122139.0,Hydrological,20000.0,2011-02-14
26,Sri Lanka,Asia,"Central, Northern, North Central, Eastern, Uva provinces ",19891.0,Hydrological,300000.0,2011-02-01
27,Namibia,Africa,"Kunene, Oshana, Oshikoto, Omusati, Ohangwena, Kavango, Caprivi provinces",102874.0,Hydrological,12000.0,2011-03-01
28,Thailand,Asia,"Nakhon Si Thammarat, Phatthalung, Surat Thani, Trang, Chumphon, Songkhla, Krabi, Phangnga provinces",33575.0,Hydrological,317000.0,2011-03-23
29,Philippines,Asia,"Bohol district (Central Visayas province), Biliran, Eastern Samar, Leyte, Northern Samar, Samar, Southern Leyte districts (Eastern Visayas province), Lanao del Norte, Misamis Oriental districts (Northern Mindanao province), South Cotabato district (Soccsksargen province), Surigao Del Sur district (Caraga province)",25963.0,Hydrological,280.0,2011-03-14
30,South Africa,Africa,"Buffalo City, Amathole, Joe Gqabi, O.R. Tambo, Alfred Nzo, Chris Hani districts (Eastern Cape province), Fezile Dabi, Thabo Mofutsanyane, Xhariep districts (Free State province), City of Johannesburg, Ekurhuleni, Sedibeng, West Rand districts (Gauteng province), Amajuba, eThekwini, iLembe, Sisonke, Ugu, Uthukela districts (KwaZulu-Natal province), Mopani, Sekhukhune, Vhembe, Waterberg districts (Limpopo province), Ehlanzeni, Nkangala districts (Mpumalanga province), Frances Baard, Namakwa, Pixley ka Seme, Siyanda districts (Northern Cape province), North West province",124636.0,Hydrological,211000.0,2011-01-01
31,Kazakhstan,Asia,"Oural city (Zelyenov district, Zapadno-kazachstanskaya province), Akzhaiyk, Burly, Kaztalov, Shyngyrlau, Taskala, Terekty districts (Zapadno-kazachstanskaya province)",213195.0,Hydrological,67000.0,2011-04-09
32,Philippines,Asia,"Bukidnon district (Region X province), Compostela, Davao Del Sur districts (Region XI province), North Cotabato, Sultan Kudarat districts (Region XII province), Maguindanao district (ARMM province)",71700.0,Hydrological,10666.0,2011-05-31
33,China,Asia,"Jiangsu Sheng, Anchui Sheng, Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Sichuan Sheng, Yunnan Sheng, Xizang Zizhiqu provinces",1341347.0,Hydrological,54130.0,2011-07-11
34,Philippines,Asia,"Davao City area (Davao Del Sur district, Region XI (Davao Region) province), Cotabato City area (Shariff Kabunsuan district, Autonomous region in Muslim Mindanao (ARMM) province), Metropolitan Manila district (National Capital region (NCR) province), Bulacan, Pampanga, Bataan, Tarlac, Zambales districts (Region III (Central Luzon) province), Batangas district (Region IV-A (Calabarzon) province), Albay district (Region V (Bicol) province), La Union, Pangasinan districts (Region I (Ilocos Region) province), Region X (Northern Mindanao), Region XII (Soccsksargen) provinces",6361.0,Hydrological,251.0,2011-06-28
35,China,Asia,"Kaihua Xian, Changshan Xian areas (Quzhou district, Zhejiang Sheng province), Xianning, Wuhan districts (Hubei Sheng province), Shangrao district (Jiangxi Sheng province), Huangshan district (Anhui Sheng province), Yueyang districts (Hunan Sheng province), Sichuan Sheng, Chongqing Shi, Guizhou Sheng provinces",431896.0,Hydrological,6400000.0,2011-06-01
36,Thailand,Asia,"Phrae, Mae Hong Son, Sukhothai, Chiang Mai, Tak, Nakhon Pathom, Roi Et, Phichit, Udon Thani, Sakon Nakhon, Uttaradit, Phitsanulok, Kampaeng Phet, Nakhon Sawan, Phetchabun, Nakhon Nayok, Phra Nakhon Si Ayudhya, Kalasin, Ubon Ratchathani, Uthai Thani, Chainat, Singburi, Ang Thong, Lopburi, Saraburi, Suphanburi, Pathum Thani, Nonthaburi, Khon Kaen, Si Saket, Surin, Chachoengsao, Phachinburi, Maha Sarakham, Samut Sakhon provinces",96785.0,Hydrological,40000000.0,2011-08-05
37,India,Asia,West Bengal province,28684.0,Hydrological,275000.0,2011-08-10
38,Pakistan,Asia,"Badin, Dadu, Ghotki, Hyderabad, Jacobabad, Karachi Central, Karachi East, Karachi South, Karachi West, Khaipur, Larkana, Malir, Mirpur Khas, Naushahro Feroze, Nawabshah, Sanghar, Shikarpur, Sukkur, Tharparkar, Thatta, Umer Kot districts (Sindh province)",32667.0,Hydrological,2500000.0,2011-08-12
39,Cambodia,Asia,"Kandal, Kampong Thom, Prey Veng, Kampong Cham, Kratie, Battambang, Kampong Chhnang, Preah Vihear, Pursat provinces",13466.0,Hydrological,521000.0,2011-08-10
40,India,Asia,"Angul, Baleshwar, Baragarh, Bhadrak, Boudh, Cuttack, Deogarh, Dhenkanal, Jajpur, Jagatsinghpur, Jharsuguda, Kendrapara, Khordha, Mayurbhanj, Nayagarh, Nuapada, Puri, Sambalpur districts (Orissa province)",27751.0,Hydrological,930000.0,2011-09-23
41,Colombia,Americas,"Valle del Cauca, Norte de Santander, Santander, Antioquia, Boyaca, Caldas, Casanare, Choco, Tolima, Quindio, Huila, Cauca, Meta, Magdalena, Sucre, Cesar, Cordoba, Risaralda, Atlantico, Guajira, Bolivar, Cundinamarca, Narino, Caqueta, San Andres y Providencia, Putumayo, Guaviare provinces",57194.0,Hydrological,1290000.0,2011-09-01
42,Algeria,Africa,El Bayadh province,288785.0,Hydrological,779000.0,2011-10-01
43,Republic of Korea,Asia,"Chuncheon city (Kang-won-do province), Seoul, Kyonggi-do provinces",17840.0,Hydrological,52000.0,2011-07-27
44,Philippines,Asia,"Carmen, Braulio E. Dujali areas (Davao del Norte district, Region XI province)",3076.0,Hydrological,178881.0,2011-11-09
45,Australia,Oceania,"New South Wales, Queensland provinces",761154.0,Hydrological,225000.0,2012-01-22
46,Bulgaria,Europe,"Haskovo, Kardzhali provinces ; Galabovo district (Stara Zagora province), Svilengrad district (Haskovo province) ; Bisser village, Harmanli city (Harmanli district, Harmanli province), Nedelino city (Nedelino district, Smoljan province)",47136.84,Hydrological,4400.0,2012-02-01
47,Canada,Americas,"Perth-Andover village (Victoria district, New Brunswick province)",544053.0,Hydrological,34000.0,2012-03-25
48,Chile,Americas,"Magallanes y Antartica chilena, Arica-Parinacota, Tarapaca provinces",88870.6,Hydrological,3100.0,2012-03-01
49,China,Asia,"Longnan, Dingxi, Tianshui, Jiuquan, Linxia Hui districts (Gansu Sheng province), Changsha, Zhuzhou, Shaoyang districts (Hunan Sheng province)",105607.0,Hydrological,316333.0,2012-05-08
50,Georgia,Asia,"Tbilissi district (Tbilisi province), Ducheti, Mtskheta districts (Mtskheta-Mtianeti province), Akhmeta, Gurdjaani, Lagodekhi districts (Kakheti province)",15849.0,Hydrological,3000.0,2012-05-12
51,Kenya,Africa,"Kitengela, Athi River areas (Machakos district, Eastern province), Ngong town (Kajiado district, Rift Valley province), Bura, Garsen, Bangale areas (Tana River district, Coast province), Homa Bay, Kisumu, Suba, Nyando, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province), Thika district (Central province), Nakuru district (Rift Valley province), Malindi district (Coast province)",12660.17,Hydrological,100000.0,2012-04-20
52,China,Asia,"Nei Mongol Zizhiqu, Zheijiang Sheng, Fujian Sheng, Jiangxi Sheng, Hubei Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Shaanxi Sheng, Shandong Sheng provinces",2643786.0,Hydrological,1200000.0,2012-06-22
