,País,Region,Location,Magnitud,Clasificación,Daños Económicos,Fecha
116,India,Asia,"Chadoora village (72811 district, Jammu and Kashmir province)",70287.98,Hydrological,76000.0,2015-03-20
117,Pakistan,Asia,"Peshawar district, North-West Frontier province",21148.0,Hydrological,1000.0,2015-04-26
118,New Zealand,Oceania,Wellington province,7484.0,Hydrological,100000.0,2015-05-13
119,United States of America,Americas,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",849464.6,Hydrological,2700000.0,2015-05-23
120,Ghana,Africa,"Accra Metropolis, Ledzokuku / Krowor, La Nkwantanang Madina, La Dade Kotopon, Shai Osu Doku, Kpone Katamanso, Ningo Prampram, Ada West, Ada East districts (Greater Accra province)",266950.1,Hydrological,12000.0,2015-06-02
121,Georgia,Asia,"Vake and Saburtalo boroughs (Tbilissi district, Tbilisi province)",13022.99,Hydrological,23000.0,2015-06-07
122,India,Asia,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",43781.56,Hydrological,604000.0,2015-06-19
123,New Zealand,Oceania,"Horowhenua, Manawatu, Rangitikei, Whanganui areas (Wanganui-manawatu province), Taranaki province",8948.6,Hydrological,171000.0,2015-06-22
124,Viet Nam,Asia,Quang Ninh province,24336.74,Hydrological,204000.0,2015-07-25
125,Myanmar,Asia,"Mandalay, Rakhine, Chin, Sagaing, Kachin, Kayin, Shan (E), Magway, Mon, Ayeyarwady, Bago (West) provinces",26424.0,Hydrological,119000.0,2015-07-15
126,North Macedonia,Europe,"Sipkotvitsa, Dzepciste district (Tetovo province); Mala Rechitsa, Golema Rechitsa, Poroj villages, Tetovo city (Tetovo district, Tetovo province)",5957.41,Hydrological,87000.0,2015-08-03
127,Nigeria,Africa,"Kano, Katsina, Sokoto, Kebbi, Zamfara, Kaduna, Jigawa, Adamawa, Yobe, Gombe, Bauchi, Anambra, Benue, Delta, Niger, Ondo, Taraba provinces",186816.02,Hydrological,25000.0,2015-09-05
128,France,Europe,"Cote d'Azur region (Alpes-maritimes, Var districts, Provence-Alpes-Cote-d'Azur province)",2895.95,Hydrological,924000.0,2015-10-03
129,India,Asia,"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",93202.05,Hydrological,2200000.0,2015-11-08
130,Ecuador,Americas,"Guayas, Bolívar, Esmeraldas, Cotopaxi, Los Ríos, Manabí, Imbabura, Santo Domingo de los Tsáchilas, El Oro provinces",69541.98,Hydrological,10000.0,2016-01-01
131,Brazil,Americas,"Arapongas, Rolândia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irmãos do Buriti, Taquarussu districts (Mato Grosso do Sul province)",110514.83,Hydrological,100000.0,2016-01-09
132,Indonesia,Asia,"Dharmasraya, Kota Payakumbuh, Kota Solok, Limapuluhkoto, Kota Pasaman, Solok, Solok Selatan, Sawahlunto/sijunjung districts (Sumatera Barat province), Bangka Tengah, Bangka Selatan, Bangka Barat, Kota Pangkalpinang districts (Bangka Belitung province), Kampar, Rokanhulu districts (Riau province), Aceh Besar, Aceh Utara, Pidie (Nangroe Aceh Darussalam province)",235818.78,Hydrological,2000.0,2016-02-07
133,China,Asia,"Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",383223.81,Hydrological,170000.0,2016-03-19
134,New Zealand,Oceania,"Riwaka city (Administrative unit not available district, Nelson-marlborough province), Administrative unit not available district (Westland province) ",39333.76,Hydrological,25000.0,2016-03-23
135,Uruguay,Americas,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces ",126653.11,Hydrological,3000.0,2016-04-12
136,Russian Federation,Europe,"Vologodskaya Oblast, Tyumenskaya Oblast, Sverdlovskaya Oblast provinces",1834048.3,Hydrological,2000.0,2016-04-16
137,India,Asia,"Arunachal Pradesh, Assam, Nagaland provinces",70517.68,Hydrological,150000.0,2016-04-22
138,Germany,Europe,"Simbach am Inn, Triften, Tann, Regen cities (Niederbayern district, Bayern province)",91554.92,Hydrological,2000000.0,2016-05-31
139,China,Asia,"Jiangsu Sheng, Zhejiang Sheng, Anhui Sheng, Jiangxi Sheng, Gansu Sheng, Shaanxi Sheng, Qinghai Sheng, Hubei Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hunan, Fujian provinces",197079.53,Hydrological,3000000.0,2016-06-18
140,India,Asia,"Chamoli, Pithoragahr districts (Uttarakhand province), Assam, Arunachal Pradesh provinces",135742.3,Hydrological,100000.0,2016-06-25
141,China,Asia,"Jiangsu, Anhui, Jiangxi, Henan, Hubei, Hunan, Guangxi, Chogqing, Sichuan, Guizhou, Yunnan",720844.3,Hydrological,22000000.0,2016-06-28
142,Bangladesh,Asia,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",45667.11,Hydrological,150000.0,2016-07-19
143,United States of America,Americas,"Louisiana, Mississippi, Missouri, Illinois, Indiana; Allamakee, Clayton, Fayette, Howard, Winneshiek counties (Iowa)",19554.02,Hydrological,10000000.0,2016-08-09
144,Mexico,Americas,Durango city,22329.12,Hydrological,25000.0,2016-09-29
145,Greece,Europe,"Kalamata, Thessaloniki cities (Peloponnesse)",20422.01,Hydrological,56000.0,2016-09-05
146,Indonesia,Asia,"Garut, Sumedang districts (Jawa Barat)",32276.01,Hydrological,22000.0,2016-09-20
147,Thailand,Asia,"Nakhon Sawan province, Ayutthaya (Phra Nakhon Si Ayudhya province)",17187.43,Hydrological,120000.0,2016-10-06
148,India,Asia,"Andhra Pradesh province, Telangana",137435.4,Hydrological,589000.0,2016-09-21
149,Viet Nam,Asia,"Quang Binh (Minh Hoa, Tuyen Hoa), Ha Tinh (Huong Khe), Nghe An, Quang Tri (Vinh Linh, Hai Lang, Trieu Phong), Thua Thien Hue provinces",63641.54,Hydrological,104280.0,2016-10-09
150,Australia,Oceania,"Victoria, South Australia provinces",634200.41,Hydrological,25000.0,2016-09-10
151,Thailand,Asia,"Nakhon Si Thammarat, Krabi, Surat Thani, Songkhla, Phatthalung, Pattani, Chumphon, Trang, Yala, Narathiwat provinces",67395.39,Hydrological,25000.0,2016-12-01
152,Viet Nam,Asia,"Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh provinces",44341.22,Hydrological,35000.0,2016-12-12
153,Malaysia,Asia,"Bachok, Gua Musang, Jeli, Kota Bahru, Machang, Pasir Mas, Pasir Puteh, Tanah Merah, Tumpat, Kuala Krai districts (Kelantan state); Besut, Setiu, Hulu Terengganu, Marang, Dungun, Kemaman (Terengganu state); Kuala Kangsar (Perak state); Pahang; Johor; Sabah; Selangor",43580.48,Hydrological,132000.0,2016-12-26
154,Thailand,Asia,"Pattani, Yala, Narathiwat, Songkhla, Phattalung, Trang, Nakhon Si Thammarat, Krabi, Surat Thani, Chumphon, Prachaub Khirikhan, Ranong provinces ",50020.11,Hydrological,1000000.0,2017-01-01
155,Peru,Americas,"Ancash department (Huarmey, Casma, El Santa provinces); Tumbes department (Zarumilla and Tumbes provinces); Lima department (Lima, Huarochirí and Canta provinces), La Libertad department (Trujillo province), Chiclayo department (Chiclayo province), Piura department (Piura province)",810942.34,Hydrological,3100000.0,2017-03-15
156,Iran (Islamic Republic of),Asia,"Azerbaijane-Gharbi (west), Azerbaijane-Sharghi (east), Kordestan, Zanjan, Mazandaran, Ardebil",40807.87,Hydrological,353000.0,2017-04-15
157,Angola,Africa,Luanda province,24002.58,Hydrological,2000.0,2017-03-21
158,Canada,Americas,"Ottawa (Cumberland, Constance Bay,Fitzroy Harbour, Dunrobin, Britannia, West Carleton-March, MacLarens Landing), Champlain Township (Prescott and Russell), Lanark (Ontario); Montreal, Gatineau, Laval (Quebec); Thompson Nicola (Cache Creek, Lower Nicola Indian Band) Columbia Shushwap (Tappen), Central Okanagan (Kelowna, West Kelowna, Lake country, Fintry Delta),North Okanogan (Lumby), Okanagan Similkameen (Garnett Valley,Summerland), Kootenay Boundary (Grand Forks) (British Colombia); Canadian Maritimes; York, Sunburry (Fredericton, Maugerville), Queens (Jemseg) (New Brunswick) ; Cape Breton Island (Nova Scotia)",79149.2,Hydrological,200000.0,2017-05-05
159,Taiwan (Province of China),Asia,"New Taipei City (Bali, Shimen Districts), Yunlin County, Taichung City, Changhua County, Nantou County, and Chiayi County; Kaohsiung City, Nantou County, Chiayi County, Tainan City",16445.9,Hydrological,28100.0,2017-05-31
160,Brazil,Americas,"Pernambuco (Caruaru, Ipojuca, Joaquim Nabuco, Jurema, Lagoa dos Gatos, Primavera, Quipapá, Sirinhaém, Tamandaré, Xexéu, Belém de Maria, Gameleira, Palmares, Amaraji, Maraial, Ribeirão, Cortês, Barra de Guabiraba, São Benedito do Sul, Rio Formoso, Catende, Água Preta, Jaqueira, Barreiros), Alagoas (Metropolitan Region, Paraiba Valley, Mundau Valley, North Coast, Grota de Santo Amaro, Callejón de la Anastácia, Riacho Velho, Carrasco, Piedras, Malhadas, Barra Nova, Playa Francés, Sitio Auxiliadora, Macéio, Atalaia, São Luis do Quitunde, Satuba, União dos Palmares, Capela, Chã Preta, Colônia Leopoldina, Jacuípe, Jundiá, Marechal Deodoro, Paulo Jacinto, Pilar, Quebrangulo, Rio Largo, Santa Luzia do Norte, Santana do Mundaú, São José da Laje, Branquinha, Cajueiro, Palmeira dos índios, Pedoca)",266010.35,Hydrological,100000.0,2017-05-26
161,New Zealand,Oceania,"North Coast, North Island. From Auckland to Wellington, Titirangi, Kohimarama , Manawatu-Wanganui Region, Whanganui, Rangitikei, Whakat?ne districts, Bay of Plenty, Edgecumbe city, Minginui, Ruat?huna, Te Wh?iti and R??toki communities",23530.76,Hydrological,71000.0,2017-04-05
162,Nepal,Asia,"Lalitpur, Palpa, Jhapa, Morang, Sunsari, Saptari, Bardia, Dang,Banke, Sirha, Sarlai, Bara, Sindhuli, Panchhthar, Rasuwa, Rupendehi, Baglung, Nawalparasi, Kailali, Kalikot, Doti, Dhading, Ramechhap, Syangia, Parbat, Pyuthan, Kaski, Terathum, Dolakha districts",64676.5,Hydrological,595000.0,2017-08-10
163,Niger,Africa,"Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Tillabery,Zinder",184437.33,Hydrological,10000.0,2017-08-26
164,China,Asia,"Loess Plateau, Southern Shaanxi (Xianyang, Hanzhong, Ankang), western Hubei (Suizhou and Guangshui cities), southern Sichuan, northern portions of Chongqing (Kaizhou, Yunyang)",283444.21,Hydrological,361000.0,2017-09-24
165,Thailand,Asia,"Central plains provinces- Bangkok, Chai Nat, Pathum Thani, Lop Buri, Kamphaeng Phet, Sing Buri, Ang Thong, Ayutthaya, Nakhon Sawan, Tak, and Pichit, Khon Kaen, Sukhothai, Uthai Thani, Suphan Buri, Nong Bua Lam Phu, Maha Sarakham, Kalasin, Roi Et, Ubon Ratchathani provinces",101670.34,Hydrological,1400.0,2017-10-10
166,Albania,Europe,"Fushë- Krujë, Ura e Gjoles (Fushë- Krujë), Murqine (Bubq), Vore, Kamez, Laprake (Tirane), Darzeze (Pishaj), Jaru, Bishtan (Novosele), Ferras (Frakull), Kashisht (Cakran), Martin, Novosele, Bishan, Mifol (Novosele), Fitore (Miras), Ure Vajgurore, Korce, Gjirokaster, Kashar, Marikaj (Vore), Laknas (Kamez), Bardhaj (Rrethinat), Roskovec, Dropoll",10463.39,Hydrological,8900.0,2017-11-30
167,Italy,Europe,"Emilia Romagna (between Sorbolo and Boretto (Parma, Reggio Emilia), Lentigione village, Brescello, Colorno), Tuscany (Lucca)",27560.36,Hydrological,125000.0,2017-12-11
168,France,Europe,Ile-de-France ,72015.73,Hydrological,372000.0,2018-01-24
169,Brazil,Americas,Rio de Janeiro,55138.95,Hydrological,10000.0,2018-02-14
170,Brazil,Americas,Sao Paulo,131278.34,Hydrological,43000.0,2018-03-20
171,Australia,Oceania,"Ingham, Halifax, Innisfail (Northern Queensland)",105583.27,Hydrological,11400.0,2018-03-09
172,Rwanda,Africa,"Gasabo district (Kigali); Rulindo district (Northern province), Gatsibo (Eastern province);",14768.05,Hydrological,11000.0,2018-04-23
173,Japan,Asia,"Kochi, Gifu,Nagano prefectures, Tokushima; Okayama, Hiroshima; Chugoku, Kansai, Kyushu regions",109672.31,Hydrological,9500000.0,2018-06-29
174,Democratic People's Republic of Korea,Asia,"Pyongsan, Kumchon, Jangpung, Kaesong counties (North Hwanghae); Haeju, Taetan, Siwon, Pongchon, Changdan counties (South Hwanghae)",25734.39,Hydrological,25000.0,2018-08-24
175,Spain,Europe,"Majorque, Catalonia, Tarragona, Baleras, Andalusia, Malaga",2882.25,Hydrological,150000.0,2018-10-09
176,Nigeria,Africa,"Kogi, Delta, Anambra, Niger",257477.37,Hydrological,275000.0,2018-09-20
177,Iran (Islamic Republic of),Asia,"Gilan, Mazandaran, Golestan, North Khorasan, Isfahan, Yazd provinces",340197.41,Hydrological,166000.0,2018-10-05
178,Spain,Europe,Asturies,6802.0,Hydrological,58000.0,2019-01-22
179,Libya,Africa,Ghat municipality,151026.83,Hydrological,7100.0,2019-05-28
180,Russian Federation,Europe,"Taishetsky, Nizhneudinsky, Tulunsky and Chunsky districts (Irkutsk Oblast; south-east Siberian Federal District)",413323.05,Hydrological,460000.0,2019-06-28
181,Japan,Asia,"Fukuoka, Nagasaki, Takeo City, Saga Prefecture (Kyushu Island)",10883.12,Hydrological,100000.0,2019-08-27
182,Spain,Europe,"Valencia, Alicante, Murcia, Albacete, eastern Andalucía, Balearic Islands",9114.7,Hydrological,2500000.0,2019-09-11
183,Indonesia,Asia,"Labuhanbatu Utara districts (North Sumatra); Saling,Talang Datuk, Talang Tinggi and Lunjuk sub-districts (Bengkulu province); Jakarta, Bekasi, Bogor, Depok in West Java district; Banten Province",24986.75,Hydrological,1200000.0,2019-12-31
184,Brazil,Americas,"Alfredo Chaves, Iconha Municipalities (Espirito Santo State); Minas Gerais state; Rio de Janeiro",115219.89,Hydrological,300000.0,2020-01-17
185,Egypt,Africa,"Cairo, Giza, Monufia, Sharkeia, South Sinai, Red Sea, Beni Suef, Faiyum, Ismailia",22124.19,Hydrological,76000.0,2020-03-11
186,Kenya,Africa,"West Pokot, Elgeyo Marakwet, Kisumu, Homabay, Tana River, Garissa, Kilifi, Kirinyaga, Siaya, Kakamega, Bomet, Nairobi counties",154389.9,Hydrological,10000.0,2020-04-18
187,Yemen,Asia,"Aden, Lahj, Taiz, Ad Dali’, Abyan, Hadramawt governorates",18949.28,Hydrological,10000.0,2020-04-15
188,Ukraine,Europe,"Verkhovyna District (Ivano-Frankivsk); Vyzhnytskyi District (Chernivtsi); Zakarpattya, Lviv, Temopil ",33791.16,Hydrological,153861.0,2020-06-22
189,Japan,Asia,"Kumamoto Prefecture, Yatsushiro, and Hitoyoshi cities (Kyushu Region)",28547.82,Hydrological,5800000.0,2020-06-29
190,Germany,Europe,"Berchtesgaden (Bavaria); Heilbronn (Baden-Württemberg); Saxony, Saxony-Anhalt; Ahrweiler, Euskirchen, Rhein-Sieg, Heinsberg, Köln (Rheinland-Pfalz); Märkischer Kreis, Düsseldorf, Solingen, Unna, Rhein-Erf (Nordrhein-Westfalen); Hessen, Thüringen,",8488.83,Hydrological,40000000.0,2021-07-12
191,France,Europe,"Pas-de-Calais Department, Hauts-de-France Region",30.0,Hydrological,1650000.0,2023-11-06
